data,classifier,criterion,percentageLabeled,thresholdOrKBest,iteration,LabeledInitial,UnLabeledInitial,LabeledFinal,UnLabeledFinal,percentageLabeledFinal,accuracy,AUC,PR,F1score
wisconsin,ST-DT-Spark,threshold,0.05,0.95,1,27,485,512,0,1,0.889476073,0.890270178,0.800450983,0.847337812
wisconsin,ST-DT-Spark,threshold,0.15,0.7,2,78,433,507,5,0.988452656,0.929218616,0.918769134,0.877410723,0.898765137
wisconsin,ST-DT-Spark,threshold,0.15,0.8,2,78,433,507,5,0.988452656,0.929218616,0.918769134,0.877410723,0.898765137
wisconsin,ST-DT-Spark,threshold,0.15,0.9,2,78,433,507,5,0.988452656,0.929218616,0.918769134,0.877410723,0.898765137
wisconsin,ST-DT-Spark,threshold,0.15,0.95,2,78,433,507,5,0.988452656,0.929218616,0.918769134,0.877410723,0.898765137
wisconsin,ST-DT-Spark,threshold,0.3,0.7,2,160,351,511,0,1,0.94338327,0.936674037,0.906795169,0.920031068
wisconsin,ST-DT-Spark,threshold,0.3,0.8,2,160,351,511,0,1,0.94338327,0.936674037,0.906795169,0.920031068
wisconsin,ST-DT-Spark,threshold,0.3,0.9,2,160,351,511,0,1,0.94338327,0.936674037,0.906795169,0.920031068
wisconsin,ST-DT-Spark,threshold,0.3,0.95,3,160,351,511,0,1,0.946042845,0.937853869,0.915523654,0.923108719
wisconsin,ST-DT-Spark,threshold,0.6,0.7,3,321,191,511,0,1,0.941295099,0.935046571,0.893588007,0.916535406
wisconsin,ST-DT-Spark,threshold,0.6,0.8,3,321,191,511,0,1,0.941295099,0.935046571,0.893588007,0.916535406
wisconsin,ST-DT-Spark,threshold,0.6,0.9,3,321,191,510,1,0.994764398,0.941295099,0.935046571,0.893588007,0.916535406
wisconsin,ST-DT-Spark,threshold,0.6,0.95,4,321,191,494,18,0.905759162,0.945556462,0.943025294,0.899923637,0.925116642
